case,implementation,status,error,dimension,family,input_format,output_format,wb,betatotal,aspect,raxis_cc,volume_p,iotaf_edge,pressure_axis,plasma_current
DESC/inputs/DSHAPE,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
DESC/inputs/DSHAPE,desc,success,,3,vmec_family,vmec_indata,wout_netcdf,0.06202588762073072,0.029161434445928846,2.927774950515224,3.712483229112473,99.45700630158474,0.32999999999999996,1600.0,-224677.60615847842
DESC/inputs/DSHAPE,educational_vmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.06202590737233558,0.029160921088557376,2.927774950515221,3.712537626357383,99.4570063015846,0.3299999999999999,1599.9255998511992,-225219.92310739929
DESC/inputs/DSHAPE,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
DESC/inputs/DSHAPE,gvec,success,,3,vmec_family,vmec_indata,gvec_state,,,2.9277749505152175,3.71287866644948,99.4570063015846,-0.33,1600.0,
DESC/inputs/DSHAPE,jvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.06202590737233546,0.0,2.927774950515229,3.712537626359599,99.45700630158474,0.32999999999999985,0.0,-225219.92313048407
DESC/inputs/DSHAPE,parvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.06202590737277843,0.029160921095565548,2.927774950515221,3.712537443684042,99.4570063015846,0.3299999999999999,1599.9255998511992,-225220.4864513043
DESC/inputs/DSHAPE,spec,failed,Unsupported: SPEC requires a native .sp input,3,spec_mhd,spec_namelist,spec_hdf5,,,,,,,,
DESC/inputs/DSHAPE,spectre,success,,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
DESC/inputs/DSHAPE,vmec2000,success,,3,vmec_family,vmec_indata,wout_netcdf,0.06202590737277843,0.029160921095565548,2.927774950515221,3.712537443684042,99.4570063015846,0.3299999999999999,1599.9255998511992,-225220.4864513043
