case,implementation,metric,value
DESC/inputs/DSHAPE,desc,wb,0.06202588762073072
DESC/inputs/DSHAPE,desc,betatotal,0.029161434445928846
DESC/inputs/DSHAPE,desc,aspect,2.927774950515224
DESC/inputs/DSHAPE,desc,raxis_cc,3.712483229112473
DESC/inputs/DSHAPE,desc,volume_p,99.45700630158474
DESC/inputs/DSHAPE,desc,iotaf_edge,0.32999999999999996
DESC/inputs/DSHAPE,desc,pressure_axis,1600.0
DESC/inputs/DSHAPE,desc,plasma_current,-224677.60615847842
DESC/inputs/DSHAPE,educational_vmec,wb,0.06202590737233558
DESC/inputs/DSHAPE,educational_vmec,betatotal,0.029160921088557376
DESC/inputs/DSHAPE,educational_vmec,aspect,2.927774950515221
DESC/inputs/DSHAPE,educational_vmec,raxis_cc,3.712537626357383
DESC/inputs/DSHAPE,educational_vmec,volume_p,99.4570063015846
DESC/inputs/DSHAPE,educational_vmec,iotaf_edge,0.3299999999999999
DESC/inputs/DSHAPE,educational_vmec,pressure_axis,1599.9255998511992
DESC/inputs/DSHAPE,educational_vmec,plasma_current,-225219.92310739929
DESC/inputs/DSHAPE,gvec,aspect,2.9277749505152175
DESC/inputs/DSHAPE,gvec,raxis_cc,3.71287866644948
DESC/inputs/DSHAPE,gvec,volume_p,99.4570063015846
DESC/inputs/DSHAPE,gvec,iotaf_edge,-0.33
DESC/inputs/DSHAPE,gvec,pressure_axis,1600.0
DESC/inputs/DSHAPE,jvmec,wb,0.06202590737233546
DESC/inputs/DSHAPE,jvmec,betatotal,0.0
DESC/inputs/DSHAPE,jvmec,aspect,2.927774950515229
DESC/inputs/DSHAPE,jvmec,raxis_cc,3.712537626359599
DESC/inputs/DSHAPE,jvmec,volume_p,99.45700630158474
DESC/inputs/DSHAPE,jvmec,iotaf_edge,0.32999999999999985
DESC/inputs/DSHAPE,jvmec,pressure_axis,0.0
DESC/inputs/DSHAPE,jvmec,plasma_current,-225219.92313048407
DESC/inputs/DSHAPE,parvmec,wb,0.06202590737277843
DESC/inputs/DSHAPE,parvmec,betatotal,0.029160921095565548
DESC/inputs/DSHAPE,parvmec,aspect,2.927774950515221
DESC/inputs/DSHAPE,parvmec,raxis_cc,3.712537443684042
DESC/inputs/DSHAPE,parvmec,volume_p,99.4570063015846
DESC/inputs/DSHAPE,parvmec,iotaf_edge,0.3299999999999999
DESC/inputs/DSHAPE,parvmec,pressure_axis,1599.9255998511992
DESC/inputs/DSHAPE,parvmec,plasma_current,-225220.4864513043
DESC/inputs/DSHAPE,vmec2000,wb,0.06202590737277843
DESC/inputs/DSHAPE,vmec2000,betatotal,0.029160921095565548
DESC/inputs/DSHAPE,vmec2000,aspect,2.927774950515221
DESC/inputs/DSHAPE,vmec2000,raxis_cc,3.712537443684042
DESC/inputs/DSHAPE,vmec2000,volume_p,99.4570063015846
DESC/inputs/DSHAPE,vmec2000,iotaf_edge,0.3299999999999999
DESC/inputs/DSHAPE,vmec2000,pressure_axis,1599.9255998511992
DESC/inputs/DSHAPE,vmec2000,plasma_current,-225220.4864513043
DESC/inputs/DSHAPE,vmex,wb,0.062025907372778404
DESC/inputs/DSHAPE,vmex,betatotal,0.029160921095565537
DESC/inputs/DSHAPE,vmex,aspect,2.9277749505152197
DESC/inputs/DSHAPE,vmex,raxis_cc,3.7125374436840715
DESC/inputs/DSHAPE,vmex,volume_p,99.4570063015846
DESC/inputs/DSHAPE,vmex,iotaf_edge,0.3299999999999999
DESC/inputs/DSHAPE,vmex,pressure_axis,1599.9255998511992
DESC/inputs/DSHAPE,vmex,plasma_current,-225220.48645166645
DESC/inputs/DSHAPE_desc,desc,wb,0.06202588762073072
