case,implementation,quality_status,quality_metric,residual,tolerance,residual_over_tolerance,iterations,solver_status,quality_source
DESC/inputs/DSHAPE,desc,converged,maximum normalized force error,4.412e-05,,,6.0,success,desc.log
DESC/inputs/DSHAPE,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.95363242785639e-13,1e-12,0.995363242785639,871.0,0,wout_vmec.nc
DESC/inputs/DSHAPE,gvec,not_converged,|force|,1.49e-07,1e-07,1.49,10000.0,finished,gvec.log
DESC/inputs/DSHAPE,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.953673303095131e-13,1e-12,0.9953673303095132,0.0,0,wout_input_cleaned.nc
DESC/inputs/DSHAPE,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.961384269477566e-13,1e-12,0.9961384269477567,909.0,0,wout_DSHAPE.nc
DESC/inputs/DSHAPE,spectre,converged,least-squares optimality,1.1133982720282611,,,82.0,3,spectre_input_res.json
DESC/inputs/DSHAPE,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.961384269477566e-13,1e-12,0.9961384269477567,909.0,0,wout_DSHAPE.nc
DESC/inputs/DSHAPE,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.9614588746606e-13,1e-12,0.9961458874660599,908.0,0,wout_DSHAPE.nc
DESC/inputs/DSHAPE_desc,desc,converged,maximum normalized force error,4.412e-05,,,6.0,success,desc.log
DESC/inputs/QSC_r2_5.5_vmec,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.989683396832203e-14,1e-13,0.9989683396832203,987.0,0,wout_vmec.nc
DESC/inputs/QSC_r2_5.5_vmec,gvec,converged,|force|,1e-07,1e-07,1.0,10000.0,finished,gvec.log
DESC/inputs/QSC_r2_5.5_vmec,parvmec,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",2.4732190142525813e-13,1e-13,2.473219014252581,2001.0,0,wout_QSC_r2_5.5_vmec.nc
DESC/inputs/QSC_r2_5.5_vmec,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.704819691391363e-14,1e-13,0.9704819691391363,187.0,0,wout_QSC_r2_5.5_vmec.nc
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.96970747364329e-14,1e-13,0.9969707473643289,385.0,0,wout_input.QSC_r2_5.nc
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,converged,maximum normalized force error,0.0005282,,,10.0,success,desc.log
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.161392397640885e-21,1e-20,0.9161392397640885,547.0,0,wout_vmec.nc
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.205047193332828e-21,1e-20,0.9205047193332828,547.0,0,wout_test.vmec.nc
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.182307519175514e-21,1e-20,0.9182307519175515,547.0,0,wout_test.vmec.nc
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.822692293716967e-21,1e-20,0.8822692293716967,519.0,0,wout_input.test.nc
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.973532494202557e-21,1e-20,0.8973532494202557,516.0,0,wout_test.vmec.nc
PARVMEC/Testing/tests/free_boundary_test/test,desc,converged,maximum normalized force error,0.002019,,,5.0,success,desc.log
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.021147903164185e-21,1e-20,0.9021147903164185,0.0,0,wout_input_cleaned.nc
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.603175480019666e-21,1e-20,0.9603175480019667,1551.0,0,wout_test.vmec.nc
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.582588844407464e-21,1e-20,0.9582588844407465,1551.0,0,wout_test.vmec.nc
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",8.829836672479006e-21,1e-20,0.8829836672479007,1791.0,0,wout_input.test.nc
PARVMEC/Testing/tests/lasym_test/test_asym,desc,converged,maximum normalized force error,0.0005468,,,9.0,success,desc.log
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.614551243397077e-21,1e-20,0.9614551243397078,518.0,0,wout_vmec.nc
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.61237726596731e-21,1e-20,0.961237726596731,518.0,0,wout_test_asym.vmec.nc
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.706814218723422e-21,1e-20,0.9706814218723422,689.0,0,wout_test_asym.vmec.nc
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.907989767792448e-21,1e-20,0.9907989767792449,517.0,0,wout_input.test_asym.nc
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.61882752886976e-21,1e-20,0.961882752886976,517.0,0,wout_test_asym.vmec.nc
PARVMEC/Testing/tests/lasym_test/test_sym,desc,converged,maximum normalized force error,0.0005282,,,10.0,success,desc.log
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.611841564094741e-21,1e-20,0.9611841564094742,518.0,0,wout_vmec.nc
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.618024294338924e-21,1e-20,0.9618024294338925,518.0,0,wout_test_sym.vmec.nc
