case,implementation,runtime_seconds,timing_source
DESC/inputs/DSHAPE,desc,59.37,GNU time real (s)
DESC/inputs/DSHAPE,educational_vmec,1.86,GNU time real (s)
DESC/inputs/DSHAPE,gvec,19.9,GVEC finished after (s)
DESC/inputs/DSHAPE,jvmec,7.14,total execution time (s)
DESC/inputs/DSHAPE,parvmec,1.14,total computational time (s)
DESC/inputs/DSHAPE,spectre,2.0,SPECTRE minimization time (s)
DESC/inputs/DSHAPE,vmec2000,1.21,total computational time (s)
DESC/inputs/DSHAPE,vmex,23.65,total computational time (s)
DESC/inputs/DSHAPE_desc,desc,58.9,GNU time real (s)
DESC/inputs/QSC_r2_5.5_vmec,educational_vmec,139.11,GNU time real (s)
DESC/inputs/QSC_r2_5.5_vmec,gvec,324.1,GVEC finished after (s)
DESC/inputs/QSC_r2_5.5_vmec,parvmec,83.69,total computational time (s)
DESC/inputs/QSC_r2_5.5_vmec,vmec2000,11.49,total computational time (s)
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,35.8,GNU time real (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,27.99,GNU time real (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,0.16,GNU time real (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,0.11,total computational time (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,0.06,total computational time (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,0.61,GNU time real (s)
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,11.84,total computational time (s)
PARVMEC/Testing/tests/free_boundary_test/test,desc,96.13,GNU time real (s)
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,28.11,total execution time (s)
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,2.47,total computational time (s)
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,2.39,total computational time (s)
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,4.13,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_asym,desc,27.83,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_asym,educational_vmec,0.29,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_asym,parvmec,0.11,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_asym,vmec2000,0.1,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_asym,vmecpp,0.71,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_asym,vmex,11.78,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_sym,desc,26.33,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_sym,educational_vmec,0.17,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_sym,parvmec,0.13,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_sym,vmec2000,0.05,total computational time (s)
PARVMEC/Testing/tests/lasym_test/test_sym,vmecpp,0.64,GNU time real (s)
PARVMEC/Testing/tests/lasym_test/test_sym,vmex,10.56,total computational time (s)
PARVMEC/Testing/tests/niter_test/test,desc,27.83,GNU time real (s)
PARVMEC/Testing/tests/niter_test/test,parvmec,0.03,total computational time (s)
PARVMEC/Testing/tests/niter_test/test,vmec2000,0.01,total computational time (s)
PARVMEC/Testing/tests/niter_test/test,vmecpp,0.56,GNU time real (s)
PARVMEC/Testing/tests/reset_test/test,desc,25.02,GNU time real (s)
PARVMEC/Testing/tests/reset_test/test,educational_vmec,0.18,GNU time real (s)
PARVMEC/Testing/tests/reset_test/test,parvmec,0.08,total computational time (s)
PARVMEC/Testing/tests/reset_test/test,vmec2000,0.05,total computational time (s)
PARVMEC/Testing/tests/reset_test/test,vmecpp,0.58,GNU time real (s)
PARVMEC/Testing/tests/reset_test/test,vmex,10.84,total computational time (s)
SPECTRE/file_io/oversized_guess,spectre,13.0,SPECTRE minimization time (s)
SPECTRE/test_files/W7-X_standard_configuration,desc,443.47,GNU time real (s)
SPECTRE/test_files/W7-X_standard_configuration,educational_vmec,0.93,GNU time real (s)
SPECTRE/test_files/W7-X_standard_configuration,gvec,93.1,GVEC finished after (s)
SPECTRE/test_files/W7-X_standard_configuration,jvmec,68.87,total execution time (s)
SPECTRE/test_files/W7-X_standard_configuration,parvmec,5.94,total computational time (s)
SPECTRE/test_files/W7-X_standard_configuration,vmec2000,5.43,total computational time (s)
SPECTRE/test_files/W7-X_standard_configuration,vmecpp,8.27,GNU time real (s)
SPECTRE/test_files/W7-X_standard_configuration,vmex,35.28,total computational time (s)
SPECTRE/test_files/iota,desc,95.45,GNU time real (s)
SPECTRE/test_files/iota,educational_vmec,0.44,GNU time real (s)
SPECTRE/test_files/iota,jvmec,42.12,total execution time (s)
SPECTRE/test_files/iota,parvmec,4.5,total computational time (s)
SPECTRE/test_files/iota,vmec2000,4.47,total computational time (s)
SPECTRE/test_files/iota,vmecpp,7.3,GNU time real (s)
SPECTRE/test_files/iota,vmex,37.64,total computational time (s)
SPECTRE/test_files/qabeta_curr,desc,105.06,GNU time real (s)
SPECTRE/test_files/qabeta_curr,educational_vmec,0.52,GNU time real (s)
SPECTRE/test_files/qabeta_curr,jvmec,33.14,total execution time (s)
SPECTRE/test_files/qabeta_curr,parvmec,3.4,total computational time (s)
SPECTRE/test_files/qabeta_curr,vmec2000,3.31,total computational time (s)
SPECTRE/test_files/qabeta_curr,vmecpp,6.47,GNU time real (s)
SPECTRE/test_files/qabeta_curr,vmex,35.31,total computational time (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,desc,457.91,GNU time real (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,educational_vmec,1.2,GNU time real (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,gvec,95.3,GVEC finished after (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,parvmec,5.46,total computational time (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,vmec2000,5.56,total computational time (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,vmecpp,7.88,GNU time real (s)
SPECTRE/utils/make_freeboundary/W7-X_standard_configuration,vmex,33.4,total computational time (s)
SPECTRE/utils/vmec2spectre/iota,educational_vmec,8.01,GNU time real (s)
SPECTRE/utils/vmec2spectre/iota,parvmec,340.9,total computational time (s)
SPECTRE/utils/vmec2spectre/iota,vmec2000,407.56,total computational time (s)
SPECTRE/utils/vmec2spectre/iota,vmecpp,268.92,GNU time real (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,desc,99.01,GNU time real (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,educational_vmec,0.75,GNU time real (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,parvmec,14.61,total computational time (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,vmec2000,18.12,total computational time (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,vmecpp,17.57,GNU time real (s)
SPECTRE/utils/vmec2spectre/qabeta_curr,vmex,64.19,total computational time (s)
SPECTRE/wrapper/cyl_manyvol_test,spectre,0.316,SPECTRE minimization time (s)
SPECTRE/wrapper/qa_7vol_test,spectre,0.865,SPECTRE minimization time (s)
SPECTRE/wrapper/test_freeb_w7x,spectre,45.0,SPECTRE minimization time (s)
SPECTRE/wrapper/test_lconsmin2_w7x,spectre,0.145,SPECTRE minimization time (s)
SPEC/ci/G1V03L0Fi/G1V03L0Fi,spec,0.14,SPEC completion time (s)
SPEC/ci/G1V03L3Fi/G1V03L3Fi,spec,0.12,SPEC completion time (s)
SPEC/ci/G2V32L1Fi_FG/G2V32L1Fi.001,spec,11.88,SPEC completion time (s)
SPEC/ci/G2V32L1Fi/G2V32L1Fi.001,spec,2.7,SPEC completion time (s)
SPEC/ci/G3V08L3Fi/G3V08L3Fi.001,spec,4.12,SPEC completion time (s)
SPEC/ci/G3V08L3FrGrid/G3V08L3FrGrid.001,spec,13.65,SPEC completion time (s)
SPEC/ci/G3V08L3Fr_FG/G3V08L3Fr.001,spec,0.16,SPEC completion time (s)
SPEC/ci/G3V08L3Fr/G3V08L3Fr.001,spec,35.61,SPEC completion time (s)
SPEC/ci/toroidal_freeboundary_vacuum/G3V02L0Fr,spec,6.42,SPEC completion time (s)
SPEC/ci/toroidal_freeboundary_vacuum/G3V02L0Fr_LU,spec,13.36,SPEC completion time (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,desc,59.57,GNU time real (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,educational_vmec,0.26,GNU time real (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,gvec,41.1,GVEC finished after (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,jvmec,19.57,total execution time (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,spectre,66.0,SPECTRE minimization time (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,vmec2000,0.71,total computational time (s)
VMEC2000/python/tests/LandremanSenguptaPlunk_section5p3_low_res,vmex,19.2,total computational time (s)
VMEC2000/python/tests/circular_tokamak,desc,40.63,GNU time real (s)
VMEC2000/python/tests/circular_tokamak,educational_vmec,0.37,GNU time real (s)
VMEC2000/python/tests/circular_tokamak,gvec,9.1,GVEC finished after (s)
